Age,"Female, Low","Female, High","Male, High","Male, Low",Low,High,Male,Female
1,0.944674,0.7861886,0.713041,0.884137,0.9144055,0.7496148,0.798589,0.8654313
2,0.944897,0.7876038,0.7147359,0.8845535,0.91472525,0.75116985,0.7996447,0.8662504
3,0.9451196,0.7890126,0.7164256,0.8849687,0.91504415,0.7527191,0.80069715,0.8670661
4,0.9453413,0.7904152,0.7181099,0.8853828,0.91536205,0.75426255,0.80174635,0.86787825
5,0.9455622,0.7918114,0.7197886,0.8857958,0.915679,0.7558,0.8027922,0.8686868
6,0.9457823,0.7932012,0.7214617,0.8862075,0.9159949,0.75733145,0.8038346,0.86949175
7,0.9460016,0.7945847,0.7231293,0.8866182,0.9163099,0.758857,0.80487375,0.87029315
8,0.9462201,0.7959619,0.7247912,0.8870277,0.9166239,0.76037655,0.80590945,0.871091
9,0.9464378,0.7973327,0.7264475,0.887436,0.9169369,0.7618901,0.80694175,0.87188525
10,0.9466547,0.7986971,0.7280981,0.8878432,0.91724895,0.7633976,0.80797065,0.8726759
11,0.9468708,0.8000551,0.729743,0.8882493,0.91756005,0.76489905,0.80899615,0.87346295
12,0.9470861,0.8014068,0.7313821,0.8886542,0.91787015,0.76639445,0.81001815,0.87424645
13,0.9473007,0.8027521,0.7330155,0.8890579,0.9181793,0.7678838,0.8110367,0.8750264
14,0.9475144,0.8040911,0.7346432,0.8894606,0.9184875,0.76936715,0.8120519,0.87580275
15,0.9477274,0.8054236,0.7362651,0.889862,0.9187947,0.77084435,0.81306355,0.8765755
16,0.9479396,0.8067498,0.7378811,0.8902624,0.919101,0.77231545,0.81407175,0.8773447
17,0.948151,0.8080696,0.7394913,0.8906616,0.9194063,0.77378045,0.81507645,0.8781103
18,0.9483617,0.809383,0.7410956,0.8910597,0.9197107,0.7752393,0.81607765,0.87887235
19,0.9485715,0.81069,0.7426941,0.8914566,0.92001405,0.77669205,0.81707535,0.87963075
20,0.9487806,0.8119907,0.7442866,0.8918524,0.9203165,0.77813865,0.8180695,0.88038565
21,0.9489889,0.8132849,0.7458732,0.892247,0.92061795,0.77957905,0.8190601,0.8811369
22,0.9491965,0.8145728,0.7474539,0.8926406,0.92091855,0.78101335,0.82004725,0.88188465
23,0.9494033,0.8158543,0.7490286,0.8930329,0.9212181,0.78244145,0.82103075,0.8826288
24,0.9496093,0.8171294,0.7505973,0.8934242,0.92151675,0.78386335,0.82201075,0.88336935
25,0.9498146,0.8183981,0.75216,0.8938143,0.92181445,0.78527905,0.82298715,0.88410635
26,0.9500191,0.8196604,0.7537167,0.8942033,0.9221112,0.78668855,0.82396,0.88483975
27,0.9502228,0.8209164,0.7552674,0.8945912,0.922407,0.7880919,0.8249293,0.8855696
28,0.9504258,0.822166,0.756812,0.8949779,0.92270185,0.789489,0.82589495,0.8862959
29,0.950628,0.8234092,0.7583505,0.8953636,0.9229958,0.79087985,0.82685705,0.8870186
30,0.9508295,0.824646,0.7598829,0.895748,0.92328875,0.79226445,0.82781545,0.88773775
31,0.9510303,0.8258765,0.7614093,0.8961314,0.92358085,0.7936429,0.82877035,0.8884534
32,0.9512303,0.8271006,0.7629295,0.8965137,0.923872,0.79501505,0.8297216,0.88916545
33,0.9514295,0.8283184,0.7644435,0.8968948,0.92416215,0.79638095,0.83066915,0.88987395
34,0.951628,0.8295298,0.7659514,0.8972748,0.9244514,0.7977406,0.8316131,0.8905789
35,0.9518258,0.8307348,0.7674532,0.8976537,0.92473975,0.799094,0.83255345,0.8912803
36,0.9520228,0.8319335,0.7689487,0.8980314,0.9250271,0.8004411,0.83349005,0.89197815
37,0.9522191,0.8331259,0.7704381,0.8984081,0.9253136,0.801782,0.8344231,0.8926725
38,0.9524147,0.834312,0.7719213,0.8987836,0.92559915,0.80311665,0.83535245,0.89336335
39,0.9526095,0.8354917,0.7733983,0.8991581,0.9258838,0.804445,0.8362782,0.8940506
40,0.9528036,0.8366651,0.774869,0.8995314,0.9261675,0.80576705,0.8372002,0.89473435
41,0.952997,0.8378322,0.7763335,0.8999036,0.9264503,0.80708285,0.83811855,0.8954146
42,0.9531896,0.838993,0.7777917,0.9002747,0.92673215,0.80839235,0.8390332,0.8960913
43,0.9533816,0.8401475,0.7792437,0.9006447,0.92701315,0.8096956,0.8399442,0.89676455
44,0.9535728,0.8412958,0.7806894,0.9010136,0.9272932,0.8109926,0.8408515,0.8974343
45,0.9537633,0.8424377,0.7821288,0.9013813,0.9275723,0.81228325,0.84175505,0.8981005
46,0.9539531,0.8435734,0.7835619,0.901748,0.92785055,0.81356765,0.84265495,0.89876325
47,0.9541421,0.8447028,0.7849887,0.9021136,0.92812785,0.81484575,0.84355115,0.89942245
48,0.9543305,0.845826,0.7864092,0.9024781,0.9284043,0.8161176,0.84444365,0.90007825
49,0.9545181,0.8469429,0.7878234,0.9028414,0.92867975,0.81738315,0.8453324,0.9007305
50,0.9547051,0.8480537,0.7892313,0.9032037,0.9289544,0.8186425,0.8462175,0.9013794
